Time,Temperature °C,Humidity %,pTemperature °C,pressure
2021-09-08 15:13:15.379434,25,45,26,1017
2021-09-08 15:13:25.564991,25,45,26,1017
2021-09-08 15:13:35.704561,25,45,26,1017
2021-09-08 15:13:45.841690,25,45,26,1017
2021-09-08 15:13:55.938572,25,45,26,1017
2021-09-08 15:14:06.125223,25,45,26,1017
2021-09-08 15:14:16.255016,25,45,26,1017
2021-09-08 15:14:26.395117,25,45,25,1017
2021-09-08 15:14:36.480584,25,45,25,1017
2021-09-08 15:14:46.670370,25,45,25,1017
2021-09-08 15:14:56.802799,25,45,25,1017
2021-09-08 15:15:06.949202,25,45,25,1017
2021-09-08 15:15:17.079908,25,45,25,1017
2021-09-08 15:15:27.207347,25,45,25,1017
2021-09-08 15:15:37.342104,25,45,25,1017
2021-09-08 15:15:47.494393,25,45,25,1017
2021-09-08 15:15:57.612836,25,46,25,1017
2021-09-08 15:16:07.757233,25,46,25,1017
2021-09-08 15:16:17.897400,25,46,25,1017
2021-09-08 15:16:28.029164,25,45,25,1017
2021-09-08 15:16:38.172049,25,45,25,1017
2021-09-08 15:16:48.316051,25,45,25,1017
2021-09-08 15:16:58.400852,25,46,25,1017
2021-09-08 15:17:08.595856,25,46,25,1017
2021-09-08 15:17:18.720089,25,46,25,1017
2021-09-08 15:17:28.852547,25,46,25,1017
2021-09-08 15:17:38.998124,25,46,25,1017
2021-09-08 15:17:49.144907,25,46,24,1017
2021-09-08 15:17:59.241117,25,46,24,1017
2021-09-08 15:18:09.426019,25,46,24,1017
2021-09-08 15:18:19.514225,25,46,24,1017
2021-09-08 15:18:29.684487,25,46,24,1017
2021-09-08 15:18:39.832313,25,46,24,1017
2021-09-08 15:18:49.968064,25,46,24,1017
2021-09-08 15:19:00.089126,25,46,24,1017
2021-09-08 15:19:10.236119,25,46,24,1017
2021-09-08 15:19:20.369305,25,46,24,1017
2021-09-08 15:19:30.522363,25,46,24,1017
2021-09-08 15:19:40.656291,25,47,24,1017
2021-09-08 15:19:50.796981,25,47,24,1017
2021-09-08 15:20:00.933853,25,47,24,1017
2021-09-08 15:20:11.059398,25,47,24,1017
2021-09-08 15:20:21.210318,25,47,24,1017
2021-09-08 15:20:31.300950,25,47,24,1017
2021-09-08 15:20:41.475315,25,47,24,1017
2021-09-08 15:20:51.628425,25,47,24,1017
2021-09-08 15:21:01.757609,25,47,24,1017
2021-09-08 15:21:11.896924,25,47,24,1017
2021-09-08 15:21:22.035004,25,47,24,1017
2021-09-08 15:21:32.162320,25,47,24,1017
2021-09-08 15:21:42.297539,25,47,24,1017
2021-09-08 15:21:52.385487,25,47,24,1017
2021-09-08 15:22:02.586997,25,47,24,1017
2021-09-08 15:22:12.722845,25,47,24,1017
2021-09-08 15:22:22.848831,24,47,24,1017
2021-09-08 15:22:32.935796,24,47,24,1017
2021-09-08 15:22:43.135755,24,47,24,1017
2021-09-08 15:22:53.260875,24,46,24,1017
2021-09-08 15:23:03.413073,24,46,24,1017
2021-09-08 15:23:13.508985,24,46,24,1017
2021-09-08 15:23:23.685126,25,46,24,1017
2021-09-08 15:23:33.811335,25,46,25,1017
2021-09-08 15:23:43.945822,25,46,25,1017
2021-09-08 15:23:54.123218,25,46,25,1017
2021-09-08 15:24:04.222801,25,46,25,1017
2021-09-08 15:24:14.372411,25,46,25,1017
2021-09-08 15:24:24.511946,25,46,25,1017
2021-09-08 15:24:34.640318,25,46,25,1017
2021-09-08 15:24:44.787428,25,46,25,1017
2021-09-08 15:24:54.922615,25,46,25,1017
2021-09-08 15:25:05.085455,25,46,25,1017
2021-09-08 15:25:15.200948,25,46,25,1017
2021-09-08 15:25:25.337579,25,46,25,1017
2021-09-08 15:25:35.429128,25,46,25,1017
2021-09-08 15:25:45.610213,25,46,25,1017
2021-09-08 15:25:55.753309,25,46,25,1017
2021-09-08 15:26:05.879223,25,46,25,1017
2021-09-08 15:26:16.025553,25,46,25,1017
2021-09-08 15:26:26.163151,25,46,25,1017
2021-09-08 15:26:36.262709,25,46,25,1017
2021-09-08 15:26:46.436302,25,46,25,1017
2021-09-08 15:26:56.528014,25,46,25,1017
2021-09-08 15:27:06.713345,25,46,25,1017
2021-09-08 15:27:16.850778,25,46,25,1017
2021-09-08 15:27:26.995081,25,46,25,1017
2021-09-08 15:27:37.128578,25,46,25,1017
2021-09-08 15:27:47.265487,25,45,25,1017
2021-09-08 15:27:57.350816,25,46,25,1017
2021-09-08 15:28:07.536770,25,46,25,1017
2021-09-08 15:28:17.677730,25,46,25,1017
2021-09-08 15:28:27.819657,25,46,25,1017
2021-09-08 15:28:37.911706,25,46,25,1017
2021-09-08 15:28:48.030154,25,46,25,1017
2021-09-08 15:28:58.217521,25,46,25,1017
