Time,Temperature °C,Humidity %,pTemperature °C,pressure,Lux
2021-09-18 20:34:05.187523,21,67,22.13,1018.688,0
2021-09-18 20:34:10.318430,21,67,22.13,1018.688,0
2021-09-18 20:34:15.417281,21,67,22.13,1018.686,0
2021-09-18 20:34:20.528698,21,67,22.13,1018.692,0
2021-09-18 20:34:25.674420,21,67,22.13,1018.696,0
2021-09-18 20:34:30.783647,21,68,22.13,1018.696,0
2021-09-18 20:34:35.907056,21,68,22.13,1018.705,0
2021-09-18 20:34:41.028434,21,68,22.13,1018.704,0
2021-09-18 20:34:46.149766,21,68,22.13,1018.707,0
2021-09-18 20:34:51.276872,21,68,22.12,1018.708,0
2021-09-18 20:34:56.369763,21,68,22.13,1018.709,0
2021-09-18 20:35:01.466449,21,68,22.12,1018.702,0
2021-09-18 20:35:06.630662,21,68,22.12,1018.7,0
2021-09-18 20:35:11.749495,21,67,22.12,1018.7,0
2021-09-18 20:35:16.860521,21,68,22.12,1018.7,0
2021-09-18 20:35:21.989701,21,67,22.12,1018.703,0
2021-09-18 20:35:27.101557,21,67,22.12,1018.706,0
2021-09-18 20:35:32.240814,21,67,22.12,1018.713,0
2021-09-18 20:35:37.347393,21,67,22.12,1018.718,0
2021-09-18 20:35:42.447160,21,68,22.12,1018.719,0
2021-09-18 20:35:47.534747,21,68,22.12,1018.724,0
2021-09-18 20:35:52.718136,21,69,22.12,1018.727,0
2021-09-18 20:35:57.833688,21,69,22.12,1018.722,0
2021-09-18 20:36:02.955923,21,68,22.12,1018.717,0
2021-09-18 20:36:08.071966,21,68,22.11,1018.718,0
2021-09-18 20:36:13.188939,21,68,22.11,1018.715,0
2021-09-18 20:36:18.317862,21,68,22.11,1018.718,0
2021-09-18 20:36:23.402939,21,67,22.11,1018.718,0
2021-09-18 20:36:28.490661,21,67,22.11,1018.717,0
2021-09-18 20:36:33.667111,21,68,22.11,1018.718,0
2021-09-18 20:36:38.791467,21,68,22.11,1018.716,0
2021-09-18 20:36:43.887683,21,67,22.11,1018.721,0
2021-09-18 20:36:49.029266,21,67,22.11,1018.721,0
2021-09-18 20:36:54.155771,21,68,22.11,1018.727,0
2021-09-18 20:36:59.268258,21,68,22.1,1018.722,0
2021-09-18 20:37:04.382749,21,68,22.1,1018.732,0
2021-09-18 20:37:09.479009,21,68,22.1,1018.739,0
2021-09-18 20:37:14.634296,21,68,22.1,1018.743,0
2021-09-18 20:37:19.754811,21,67,22.1,1018.742,0
2021-09-18 20:37:24.868952,21,67,22.1,1018.742,0
2021-09-18 20:38:00.713577,21,67,22.1,1018.762,0
2021-09-18 20:38:05.828138,21,67,22.1,1018.765,0
2021-09-18 20:38:10.955238,21,68,22.09,1018.768,0
2021-09-18 20:38:16.069235,21,68,22.09,1018.767,0
2021-09-18 20:38:21.191141,21,68,22.09,1018.762,0
2021-09-18 20:38:26.318288,21,69,22.09,1018.75,0
2021-09-18 20:38:31.440337,21,68,22.09,1018.741,0
2021-09-18 20:38:36.539662,21,67,22.09,1018.743,0
2021-09-18 20:38:41.674968,21,67,22.09,1018.748,0
2021-09-18 20:38:46.783934,21,67,22.09,1018.746,0
2021-09-18 20:38:51.918202,21,67,22.09,1018.748,0
2021-09-18 20:38:57.037158,21,67,22.09,1018.748,0
